source_id,title,publisher,source_type,url,publication_date,language,access_date,reuse_value,caveats,notes
CN_SHORT_TJ_DIR_2023,天津市高层次和急需紧缺人才开发目录,Tianjin Municipal Human Resources and Social Security Bureau,official shortage directory,https://hrss.tj.gov.cn/xinwenzixun/gggsnew/202311/t20231126_6465351.html,2023-11-26,zh-CN,2026-05-06,High,"Covers 12 industry chains, not only semiconductors.",Strong official source because it explicitly includes the integrated-circuit chain and attaches the full directory.
CN_SHORT_CY_DIR_2023,关于公布《成渝地区双城经济圈急需紧缺人才目录（2023年）》的通告,Sichuan Provincial Department of Human Resources and Social Security and Chongqing Municipal Human Resources and Social Security Bureau,official regional shortage directory notice,https://rst.sc.gov.cn/rst/gsgg/2023/12/18/517398c54bae4afca22f809222f0d4dc.shtml,2023-12-18,zh-CN,2026-05-06,High,Multi-industry regional document; semiconductor roles must be filtered from broader clusters.,"Useful for West China demand mapping, especially where equipment, electronics, and advanced manufacturing talent markets overlap."
CN_UNI_THU_DPI,精密仪器系概况,Tsinghua University,official university department page,https://www.dpi.tsinghua.edu.cn/info/1005/1010.htm,2020-09-27,zh-CN,2026-05-06,High,"Department overview, not graduate output data.","High-value source for lithography-sidebar and metrology talent mapping because it documents instruments, optics, testing platforms, and training depth."
CN_UNI_ZJU_OPTICS,光电科学与工程学院,Zhejiang University,official university school page,https://atc.zju.edu.cn/about/detail-27.html,,zh-CN,2026-05-06,High,Static school profile; no enrollment figures on the page.,"Important for optics, optical instrumentation, sensing, and imaging pipelines relevant to lithography and inspection."
CN_UNI_HIT_INSTR,学院简介,Harbin Institute of Technology,official university school page,https://ise.hit.edu.cn/16155/list.htm,,zh-CN,2026-05-06,High,School profile; no annual counts.,"Useful for metrology and ultra-precision instrumentation talent, with explicit emphasis on precision instruments and measurement."
CN_UNI_DUT_CHEMENG,学院简介,Dalian University of Technology,official university school page,https://chemeng.dlut.edu.cn/xygk/xyjj.htm,,zh-CN,2026-05-06,Medium,Broad chemical-engineering profile rather than semiconductor-specific.,"Good proxy for etch, clean, strip, wet-process, and materials-facing talent supply via chemical engineering and fine chemicals strengths."
CN_UNI_FDU_ICMNE,学院简介,Fudan University,official university school page,https://icmne.fudan.edu.cn/xyjj/list.htm,,zh-CN,2026-05-06,High,Institutional self-description.,"High-value source for integrated-circuit process, CAD, and micro/nano-electronics training that can feed equipment and process-engineering roles."
CN_UNI_TJU_PRECISION,精密仪器与光电子工程学院,Tianjin University,official university school page,https://www.tju.edu.cn/info/1044/1251.htm,,zh-CN,2026-05-06,High,"School profile, not yearly throughput.","Strong source for precision testing, micro/nano manufacturing, sensing, and optical engineering talent relevant to metrology and inspection."
CN_FIRM_NAURA,半导体装备,NAURA Technology Group,official company product page,https://www.naura.com/product/semiconductor.html,,zh-CN,2026-05-06,High,Corporate self-description; no disclosed workforce-by-function.,"Very reusable for tool-category mapping because it explicitly lists etch, PVD, CVD, WET, furnace, implant, RTP, and epi products plus manufacturing bases."
CN_FIRM_AMEC,Advanced Micro-Fabrication Equipment Inc. China,AMEC,official company product page,https://www.amec-inc.com/en/,,en-US,2026-05-06,High,Corporate source; English site emphasizes product families more than personnel data.,Core source for etch and deposition product-line mapping and for the lithography-constraint side note that China is stronger in etch/deposition than lithography.
CN_FIRM_PIOTECH,拓荆科技股份有限公司,Piotech,official company page,https://www.piotech.cn/index.php/About,,zh-CN,2026-05-06,High,Corporate source; no province-by-province talent detail.,"Very useful for deposition category coverage because it lists PECVD, ALD, SACVD, HDPCVD, Flowable CVD, hybrid bonding, and related metrology."
CN_FIRM_ACM_SH,盛美半导体设备（上海）股份有限公司,ACM Research Shanghai,official company page,https://www.acmrcsh.com.cn/about-qy.html,,zh-CN,2026-05-06,High,Corporate source; some claims are marketing-oriented.,"High-value clean-tool source with wet cleaning, electroplating, furnace, track, and PECVD coverage; especially useful for clean/strip and adjacent front-end tools."
CN_FIRM_BEIM,北京电子量检测装备有限责任公司,Beijing Electronics Inspection and Metrology Equipment,official company profile,https://www.beim.com.cn/StaticPage/AboutUs/companyprofile.html,,zh-CN,2026-05-06,High,Corporate source; product breadth may exceed front-end semiconductor tooling.,"Useful metrology/inspection anchor source because it explicitly covers pattern defect inspection, micro/nano morphology metrology, and mask/inspection-adjacent capabilities."
CN_FIRM_SMEE,上海微电子装备(集团)股份有限公司,SMEE,official company homepage,https://www.smee.com.cn/,,zh-CN,2026-05-06,High,Homepage is broad; detailed product pages may need separate scraping later.,"Essential lithography-sidebar source for mapping China’s main domestic lithography champion and its IC, packaging, display, MEMS, LED, and power-device application footprint."
CN_PARK_ORIENTAL_CHIP_PORT,Oriental Chip Port of Lingang Special Area,Shanghai Municipal Commission of Economy and Informatization,official industrial park page,https://english.shanghai.gov.cn/en-SpecialIndustrialParks/20240202/2186cfc4c746456695e1d14c5c789e91.html,,en-US,2026-05-06,High,English-language summary page rather than a full tenant list.,"Excellent park-level source because it explicitly highlights distinctive processes, key equipment, basic materials, and packaging/testing in Lingang."
CN_PARK_BEIJING_ETOWN_IC,北京亦庄创新发布第626次网络发布,Beijing Economic-Technological Development Area,official industrial-cluster release,https://kfqgw.beijing.gov.cn/zwgkkfq/yzttkfq/cxzc/202306/t20230629_3150053.html,2023-06-29,zh-CN,2026-05-06,High,Cluster release rather than a structured directory.,"Very useful for cluster geography because it explicitly says Beijing E-Town has design, manufacturing, packaging, equipment, parts, and materials in one IC chain."
CN_PARK_SIP_IC,《苏州工业园区全面推进集成电路产业创新集群发展行动计划（2022-2025）》,Suzhou Industrial Park Administrative Committee,official cluster action plan,https://www.sipac.gov.cn/kjhxxhj/kjzc/202209/bd7a1de8fdbb4389af3e7c80b00c97a5.shtml,2022-06-01,zh-CN,2026-05-06,High,Policy/action-plan source rather than a tenant directory.,"Strong for cluster observation design because it explicitly names key equipment directions such as lithography, epitaxy, and test, and gives talent and firm targets."
CN_PARK_HAICANG_IC,厦门海沧集成电路产业园,Haicang District Government of Xiamen,official industrial park page,https://www.haicang.gov.cn/zjhc/cyjj/41898/202408/t20240806_1062693.htm,2024-08-06,zh-CN,2026-05-06,High,Park profile; counts are cluster-level and may change over time.,Useful South China park source with named functional zones and resident manufacturing projects; good for geographic demand mapping and partner-ecosystem screening.
CN_PROXY_NSFC,资助项目查询,National Natural Science Foundation of China,official research-grants query portal,https://www.nsfc.gov.cn/p1/3281/3286/3304/3348/jhyzczzxmcx.html,,zh-CN,2026-05-06,High,Project query is not tooling-specific; results need keyword design and discipline filters.,"Best official grant proxy for tracking institutions and topics in plasma, deposition, optics, instrumentation, process chemistry, and related fields."
CN_PROXY_CNIPA_PSS,国家知识产权局专利检索及分析系统介绍,China National Intellectual Property Administration,official patent search and analysis system,https://www.cnipa.gov.cn/art/2023/2/13/art_3166_182074.html,2023-02-13,zh-CN,2026-05-06,High,Requires careful query design; patent counts can overstate practical capability.,"Best official patent proxy for company, inventor, region, and topic trends in etch, clean, deposition, metrology, optics, and semiconductor equipment subsystems."
CN_PROXY_WANFANG,万方数据知识服务平台,Wanfang Data,research database,https://www.wanfangdata.com.cn/,,zh-CN,2026-05-06,Medium,Commercial platform; access may depend on institutional subscription.,"Strong literature proxy for Chinese-language papers, theses, standards-adjacent content, and institutional publication clustering."
CN_PROXY_NSTRS,国家科技报告服务系统,National Science and Technology Report Service System,official research-report database,https://www.nstrs.cn/,,zh-CN,2026-05-06,High,Coverage depends on deposited reports; some full text requires authenticated access.,Useful for state-funded project reports and technical-report searches that can surface applied tooling and process-development work beyond journal articles.
CN_PROXY_CSCD,中国科学院文献情报中心,"National Science Library, Chinese Academy of Sciences",official portal to CSCD access,https://www.las.cas.cn/,,zh-CN,2026-05-06,Medium,Homepage links to CSCD rather than giving a direct dataset description on the same page.,"Useful citation-index proxy for high-quality Chinese scientific output and institutional influence in engineering, optics, materials, and instrumentation."
SEC_CSET_SME_2021,China’s Progress in Semiconductor Manufacturing Equipment,Center for Security and Emerging Technology,think-tank report,https://cset.georgetown.edu/publication/chinas-progress-in-semiconductor-manufacturing-equipment/,2021-03-01,en-US,2026-05-06,Medium,"Analytical framing piece, not a primary Chinese observation source.","High-value framing report on China’s strengths and weaknesses in SME, especially the gap between etch/deposition progress and lithography/metrology constraints."
SEC_CSET_BEIJING_2025,Inside Beijing’s Chipmaking Offensive,Center for Security and Emerging Technology,think-tank article,https://cset.georgetown.edu/article/inside-beijings-chipmaking-offensive/,2025-07-14,en-US,2026-05-06,Medium,Article-level framing built on CSET ETO rather than a raw Chinese dataset.,"Useful current framing for which Chinese tool segments are gaining share, with especially relevant discussion of dry etch, clean, deposition, CMP, and lithography constraints."
SEC_SIA_WORKFORCE_2023,America Faces Significant Shortage of Tech Workers in Semiconductor Industry and Throughout U.S. Economy,Semiconductor Industry Association,industry-association report announcement,https://www.semiconductors.org/america-faces-significant-shortage-of-tech-workers-in-semiconductor-industry-and-throughout-u-s-economy/,2023-07-25,en-US,2026-05-06,Medium,U.S.-focused and not China-specific.,"Useful comparative framing for how semiconductor workforce shortages are measured and communicated, and for benchmarking demand-side logic."
SEC_DELOITTE_2026,2026 Global Semiconductor Industry Outlook,Deloitte,industry outlook,https://www.deloitte.com/us/en/insights/industry/technology/technology-media-telecom-outlooks/semiconductor-industry-outlook.html,2026-02-05,en-US,2026-05-06,Medium,Global outlook; not China-tooling specific.,"Useful for macro framing on capex, AI-driven equipment demand, packaging, memory, infrastructure, and talent availability as strategic constraints."
SEC_MCKINSEY_TALENT_2024,Filling the talent gap in semiconductors,McKinsey & Company,consulting analysis,https://www.mckinsey.com/industries/semiconductors/our-insights/how-semiconductor-companies-can-fill-the-expanding-talent-gap,,en-US,2026-05-06,Medium,Global and modeled rather than built from Chinese public administrative data.,"Useful comparative framing for engineer and technician bottlenecks, talent clusters, and how equipment makers are affected by the same labor constraints as fabs."
CN_FILING_ACM_SH_2025,ACM Research Shanghai 2025 annual report,CNINFO / ACM Research Shanghai,corporate filing,https://static.cninfo.com.cn/finalpage/2026-02-27/1224986438.PDF,2026-02-27,zh-CN,2026-05-06,High,Listed-company disclosure; role categories are aggregated and not segment-specific.,Clean/strip product and service-heavy workforce evidence.
CN_FILING_AMEC_2025,AMEC 2025 annual report,CNINFO / AMEC,corporate filing,https://static.cninfo.com.cn/finalpage/2026-03-31/1225062431.PDF,2026-03-31,zh-CN,2026-05-06,High,Listed-company disclosure; product and workforce data are aggregated.,Etch product maturity and R&D composition.
CN_FILING_NAURA_2025,NAURA 2025 annual report,CNINFO / NAURA Technology Group,corporate filing,https://static.cninfo.com.cn/finalpage/2026-04-18/1225122918.PDF,2026-04-18,zh-CN,2026-05-06,High,Listed-company disclosure; role labels are aggregated and not directly comparable to job postings.,"Scale, R&D intensity, and customer-service expansion."
CN_FILING_PIOTECH_2025,Piotech 2025 financing report,CNINFO / Piotech,corporate filing,https://static.cninfo.com.cn/finalpage/2025-09-13/1224658197.PDF,2025-09-13,zh-CN,2026-05-06,High,Corporate financing disclosure; product and demand framing may be promotional.,Deposition demand mechanics and product families.
CN_FILING_JINGCE_2025,Jingce 2025 annual report summary,CNINFO / Jingce,corporate filing,https://static.cninfo.com.cn/finalpage/2026-04-28/1225201721.PDF,2026-04-28,zh-CN,2026-05-06,High,Annual report summary; use full filing before making strong product or workforce claims.,Metrology and inspection product taxonomy.
