observation_id,entity_type,entity_id,city,province,segment,capability_id,indicator_name,indicator_value,indicator_unit,evidence_type,confidence,source_id,year,notes
obs_0017,discipline,disc_0805,,,deposition,,MOE discipline relevance to tooling segment,Materials Science and Engineering,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"材料科学与工程 (0805) is analyst-mapped to deposition; use as taxonomy, not headcount."
obs_0018,discipline,disc_0805,,,etch_clean,,MOE discipline relevance to tooling segment,Materials Science and Engineering,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"材料科学与工程 (0805) is analyst-mapped to etch_clean; use as taxonomy, not headcount."
obs_0019,discipline,disc_0809,,,etch_clean,,MOE discipline relevance to tooling segment,Electronic Science and Technology,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"电子科学与技术 (0809) is analyst-mapped to etch_clean; use as taxonomy, not headcount."
obs_0020,discipline,disc_0809,,,deposition,,MOE discipline relevance to tooling segment,Electronic Science and Technology,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"电子科学与技术 (0809) is analyst-mapped to deposition; use as taxonomy, not headcount."
obs_0021,discipline,disc_0809,,,metrology_inspection,,MOE discipline relevance to tooling segment,Electronic Science and Technology,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"电子科学与技术 (0809) is analyst-mapped to metrology_inspection; use as taxonomy, not headcount."
obs_0022,discipline,disc_0809,,,lithography_sidebar,,MOE discipline relevance to tooling segment,Electronic Science and Technology,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"电子科学与技术 (0809) is analyst-mapped to lithography_sidebar; use as taxonomy, not headcount."
obs_0023,discipline,disc_0811,,,metrology_inspection,,MOE discipline relevance to tooling segment,Control Science and Engineering,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"控制科学与工程 (0811) is analyst-mapped to metrology_inspection; use as taxonomy, not headcount."
obs_0024,discipline,disc_0811,,,lithography_sidebar,,MOE discipline relevance to tooling segment,Control Science and Engineering,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"控制科学与工程 (0811) is analyst-mapped to lithography_sidebar; use as taxonomy, not headcount."
obs_0025,discipline,disc_0811,,,etch_clean,,MOE discipline relevance to tooling segment,Control Science and Engineering,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"控制科学与工程 (0811) is analyst-mapped to etch_clean; use as taxonomy, not headcount."
obs_0026,discipline,disc_0811,,,deposition,,MOE discipline relevance to tooling segment,Control Science and Engineering,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"控制科学与工程 (0811) is analyst-mapped to deposition; use as taxonomy, not headcount."
obs_0027,discipline,disc_0812,,,metrology_inspection,,MOE discipline relevance to tooling segment,Computer Science and Technology,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"计算机科学与技术 (0812) is analyst-mapped to metrology_inspection; use as taxonomy, not headcount."
obs_0028,discipline,disc_0812,,,lithography_sidebar,,MOE discipline relevance to tooling segment,Computer Science and Technology,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"计算机科学与技术 (0812) is analyst-mapped to lithography_sidebar; use as taxonomy, not headcount."
obs_0029,discipline,disc_0817,,,deposition,,MOE discipline relevance to tooling segment,Chemical Engineering and Technology,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"化学工程与技术 (0817) is analyst-mapped to deposition; use as taxonomy, not headcount."
obs_0030,discipline,disc_0817,,,etch_clean,,MOE discipline relevance to tooling segment,Chemical Engineering and Technology,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"化学工程与技术 (0817) is analyst-mapped to etch_clean; use as taxonomy, not headcount."
obs_0031,discipline,disc_0854,,,etch_clean,,MOE discipline relevance to tooling segment,Electronic Information,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"电子信息 (0854) is analyst-mapped to etch_clean; use as taxonomy, not headcount."
obs_0032,discipline,disc_0854,,,deposition,,MOE discipline relevance to tooling segment,Electronic Information,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"电子信息 (0854) is analyst-mapped to deposition; use as taxonomy, not headcount."
obs_0033,discipline,disc_0854,,,metrology_inspection,,MOE discipline relevance to tooling segment,Electronic Information,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"电子信息 (0854) is analyst-mapped to metrology_inspection; use as taxonomy, not headcount."
obs_0034,discipline,disc_0854,,,lithography_sidebar,,MOE discipline relevance to tooling segment,Electronic Information,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"电子信息 (0854) is analyst-mapped to lithography_sidebar; use as taxonomy, not headcount."
obs_0035,discipline,disc_0855,,,deposition,,MOE discipline relevance to tooling segment,Mechanical Engineering,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"机械 (0855) is analyst-mapped to deposition; use as taxonomy, not headcount."
obs_0036,discipline,disc_0855,,,metrology_inspection,,MOE discipline relevance to tooling segment,Mechanical Engineering,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"机械 (0855) is analyst-mapped to metrology_inspection; use as taxonomy, not headcount."
obs_0037,discipline,disc_0855,,,lithography_sidebar,,MOE discipline relevance to tooling segment,Mechanical Engineering,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"机械 (0855) is analyst-mapped to lithography_sidebar; use as taxonomy, not headcount."
obs_0038,discipline,disc_0856,,,deposition,,MOE discipline relevance to tooling segment,Materials and Chemical Engineering,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"材料与化工 (0856) is analyst-mapped to deposition; use as taxonomy, not headcount."
obs_0039,discipline,disc_0856,,,etch_clean,,MOE discipline relevance to tooling segment,Materials and Chemical Engineering,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"材料与化工 (0856) is analyst-mapped to etch_clean; use as taxonomy, not headcount."
obs_0040,capability,ECS01,,,etch_clean,ECS01,Capability row in segment taxonomy,Plasma source and sheath control,qualitative,manual_inference,medium,CN_FIRM_AMEC,2026,Taxonomy row; validate exact source anchors before public release.
obs_0041,capability,ECS02,,,etch_clean,ECS02,Capability row in segment taxonomy,"Profile, selectivity, and high-aspect-ratio transfer",qualitative,manual_inference,medium,CN_FIRM_AMEC,2026,Taxonomy row; validate exact source anchors before public release.
obs_0042,capability,ECS03,,,etch_clean,ECS03,Capability row in segment taxonomy,Post-etch clean and residue removal,qualitative,manual_inference,medium,CN_FIRM_AMEC,2026,Taxonomy row; validate exact source anchors before public release.
obs_0043,capability,ECS04,,,etch_clean,ECS04,Capability row in segment taxonomy,Strip and rework-safe material removal,qualitative,manual_inference,medium,CN_FIRM_AMEC,2026,Taxonomy row; validate exact source anchors before public release.
obs_0044,capability,DEP01,,,deposition,DEP01,Capability row in segment taxonomy,Precursor delivery and reaction control,qualitative,manual_inference,medium,CN_FIRM_NAURA,2026,Taxonomy row; validate exact source anchors before public release.
obs_0045,capability,DEP02,,,deposition,DEP02,Capability row in segment taxonomy,Film-property engineering,qualitative,manual_inference,medium,CN_FIRM_NAURA,2026,Taxonomy row; validate exact source anchors before public release.
obs_0046,capability,DEP03,,,deposition,DEP03,Capability row in segment taxonomy,"Conformality, coverage, and gap fill",qualitative,manual_inference,medium,CN_FIRM_NAURA,2026,Taxonomy row; validate exact source anchors before public release.
obs_0047,capability,DEP04,,,deposition,DEP04,Capability row in segment taxonomy,High-volume stability and chamber match,qualitative,manual_inference,medium,CN_FIRM_NAURA,2026,Taxonomy row; validate exact source anchors before public release.
obs_0048,capability,MI01,,,metrology_inspection,MI01,Capability row in segment taxonomy,Defect imaging and illumination engineering,qualitative,manual_inference,medium,CN_FIRM_BEIM,2026,Taxonomy row; validate exact source anchors before public release.
obs_0049,capability,MI02,,,metrology_inspection,MI02,Capability row in segment taxonomy,"CD, overlay, thickness, profile, and flatness measurement",qualitative,manual_inference,medium,CN_FIRM_BEIM,2026,Taxonomy row; validate exact source anchors before public release.
obs_0050,capability,MI03,,,metrology_inspection,MI03,Capability row in segment taxonomy,"Algorithms, classification, and SPC integration",qualitative,manual_inference,medium,CN_FIRM_BEIM,2026,Taxonomy row; validate exact source anchors before public release.
obs_0051,capability,MI04,,,metrology_inspection,MI04,Capability row in segment taxonomy,"Calibration, matching, and customer feedback loops",qualitative,manual_inference,medium,CN_FIRM_BEIM,2026,Taxonomy row; validate exact source anchors before public release.
obs_0052,capability,LIT01,,,lithography_sidebar,LIT01,Capability row in segment taxonomy,"Projection optics, stages, focus, and overlay",qualitative,manual_inference,medium,CN_FIRM_SMEE,2026,Taxonomy row; validate exact source anchors before public release.
obs_0053,capability,LIT02,,,lithography_sidebar,LIT02,Capability row in segment taxonomy,Resist-stack integration and contamination control,qualitative,manual_inference,medium,CN_FIRM_SMEE,2026,Taxonomy row; validate exact source anchors before public release.
obs_0054,role_family,ECS_RS,,,etch_clean,,Role-family public observability,Medium,qualitative,manual_inference,medium,CN_FIRM_AMEC,2026,Research scientists for etch_clean; based on taxonomy and public proxy sources.
obs_0055,role_family,ECS_PE,,,etch_clean,,Role-family public observability,High,qualitative,job_posting_proxy,medium,CN_FIRM_AMEC,2026,Production engineers for etch_clean; based on taxonomy and public proxy sources.
obs_0056,role_family,ECS_TE,,,etch_clean,,Role-family public observability,Medium,qualitative,manual_inference,medium,CN_FIRM_AMEC,2026,Technicians for etch_clean; based on taxonomy and public proxy sources.
obs_0057,role_family,ECS_TK,,,etch_clean,,Role-family public observability,Weakly observable,qualitative,manual_inference,medium,CN_FIRM_AMEC,2026,Tacit production know-how for etch_clean; based on taxonomy and public proxy sources.
obs_0058,role_family,DEP_RS,,,deposition,,Role-family public observability,Medium,qualitative,manual_inference,medium,CN_FIRM_NAURA,2026,Research scientists for deposition; based on taxonomy and public proxy sources.
obs_0059,role_family,DEP_PE,,,deposition,,Role-family public observability,High,qualitative,job_posting_proxy,medium,CN_FIRM_NAURA,2026,Production engineers for deposition; based on taxonomy and public proxy sources.
obs_0060,role_family,DEP_TE,,,deposition,,Role-family public observability,Medium,qualitative,manual_inference,medium,CN_FIRM_NAURA,2026,Technicians for deposition; based on taxonomy and public proxy sources.
obs_0061,role_family,DEP_TK,,,deposition,,Role-family public observability,Weakly observable,qualitative,manual_inference,medium,CN_FIRM_NAURA,2026,Tacit production know-how for deposition; based on taxonomy and public proxy sources.
obs_0062,role_family,MI_RS,,,metrology_inspection,,Role-family public observability,Medium,qualitative,manual_inference,medium,CN_FIRM_BEIM,2026,Research scientists for metrology_inspection; based on taxonomy and public proxy sources.
obs_0063,role_family,MI_PE,,,metrology_inspection,,Role-family public observability,High,qualitative,job_posting_proxy,medium,CN_FIRM_BEIM,2026,Production engineers for metrology_inspection; based on taxonomy and public proxy sources.
obs_0064,role_family,MI_TE,,,metrology_inspection,,Role-family public observability,Medium,qualitative,manual_inference,medium,CN_FIRM_BEIM,2026,Technicians for metrology_inspection; based on taxonomy and public proxy sources.
obs_0065,role_family,MI_TK,,,metrology_inspection,,Role-family public observability,Weakly observable,qualitative,manual_inference,medium,CN_FIRM_BEIM,2026,Tacit production know-how for metrology_inspection; based on taxonomy and public proxy sources.
obs_0066,role_family,LIT_RS,,,lithography_sidebar,,Role-family public observability,Medium,qualitative,manual_inference,medium,CN_FIRM_SMEE,2026,Research scientists for lithography_sidebar; based on taxonomy and public proxy sources.
obs_0067,role_family,LIT_PE,,,lithography_sidebar,,Role-family public observability,High,qualitative,job_posting_proxy,medium,CN_FIRM_SMEE,2026,Production engineers for lithography_sidebar; based on taxonomy and public proxy sources.
obs_0068,role_family,LIT_TE,,,lithography_sidebar,,Role-family public observability,Medium,qualitative,manual_inference,medium,CN_FIRM_SMEE,2026,Technicians for lithography_sidebar; based on taxonomy and public proxy sources.
obs_0069,role_family,LIT_TK,,,lithography_sidebar,,Role-family public observability,Weakly observable,qualitative,manual_inference,medium,CN_FIRM_SMEE,2026,Tacit production know-how for lithography_sidebar; based on taxonomy and public proxy sources.
obs_0070,institution,inst_tsinghua_dpi,Beijing,Beijing,metrology_inspection,,Relevant institutional-capacity signal,Tsinghua University - Department of Precision Instrument,qualitative,institutional_capacity,medium,CN_UNI_THU_DPI,2026,Precision instrument source useful for metrology/lithography-sidebar talent mapping.
obs_0071,institution,inst_tsinghua_dpi,Beijing,Beijing,lithography_sidebar,,Relevant institutional-capacity signal,Tsinghua University - Department of Precision Instrument,qualitative,institutional_capacity,medium,CN_UNI_THU_DPI,2026,Precision instrument source useful for metrology/lithography-sidebar talent mapping.
obs_0072,institution,inst_zju_optics,Hangzhou,Zhejiang,metrology_inspection,,Relevant institutional-capacity signal,Zhejiang University - College of Optical Science and Engineering,qualitative,institutional_capacity,medium,CN_UNI_ZJU_OPTICS,2026,"Optics, optical instrumentation, sensing, and imaging pipeline."
obs_0073,institution,inst_zju_optics,Hangzhou,Zhejiang,lithography_sidebar,,Relevant institutional-capacity signal,Zhejiang University - College of Optical Science and Engineering,qualitative,institutional_capacity,medium,CN_UNI_ZJU_OPTICS,2026,"Optics, optical instrumentation, sensing, and imaging pipeline."
obs_0074,institution,inst_hit_instrument,Harbin,Heilongjiang,metrology_inspection,,Relevant institutional-capacity signal,Harbin Institute of Technology - School of Instrumentation Science and Engineering,qualitative,institutional_capacity,medium,CN_UNI_HIT_INSTR,2026,Precision instruments and measurement; metrology and ultra-precision instrumentation proxy.
obs_0075,institution,inst_hit_instrument,Harbin,Heilongjiang,lithography_sidebar,,Relevant institutional-capacity signal,Harbin Institute of Technology - School of Instrumentation Science and Engineering,qualitative,institutional_capacity,medium,CN_UNI_HIT_INSTR,2026,Precision instruments and measurement; metrology and ultra-precision instrumentation proxy.
obs_0076,institution,inst_dut_chemeng,Dalian,Liaoning,etch_clean,,Relevant institutional-capacity signal,Dalian University of Technology - School of Chemical Engineering,qualitative,institutional_capacity,medium,CN_UNI_DUT_CHEMENG,2026,"Chemical engineering proxy for wet-process, clean/strip, process chemistry, and precursor delivery talent."
obs_0077,institution,inst_dut_chemeng,Dalian,Liaoning,deposition,,Relevant institutional-capacity signal,Dalian University of Technology - School of Chemical Engineering,qualitative,institutional_capacity,medium,CN_UNI_DUT_CHEMENG,2026,"Chemical engineering proxy for wet-process, clean/strip, process chemistry, and precursor delivery talent."
obs_0078,institution,inst_fudan_icmne,Shanghai,Shanghai,etch_clean,,Relevant institutional-capacity signal,Fudan University - School of Microelectronics,qualitative,institutional_capacity,medium,CN_UNI_FDU_ICMNE,2026,Micro/nano-electronics and process-adjacent IC training proxy.
obs_0079,institution,inst_fudan_icmne,Shanghai,Shanghai,deposition,,Relevant institutional-capacity signal,Fudan University - School of Microelectronics,qualitative,institutional_capacity,medium,CN_UNI_FDU_ICMNE,2026,Micro/nano-electronics and process-adjacent IC training proxy.
obs_0080,institution,inst_fudan_icmne,Shanghai,Shanghai,metrology_inspection,,Relevant institutional-capacity signal,Fudan University - School of Microelectronics,qualitative,institutional_capacity,medium,CN_UNI_FDU_ICMNE,2026,Micro/nano-electronics and process-adjacent IC training proxy.
obs_0081,institution,inst_fudan_icmne,Shanghai,Shanghai,lithography_sidebar,,Relevant institutional-capacity signal,Fudan University - School of Microelectronics,qualitative,institutional_capacity,medium,CN_UNI_FDU_ICMNE,2026,Micro/nano-electronics and process-adjacent IC training proxy.
obs_0082,institution,inst_tju_precision,Tianjin,Tianjin,metrology_inspection,,Relevant institutional-capacity signal,Tianjin University - School of Precision Instrument and Opto-electronics Engineering,qualitative,institutional_capacity,medium,CN_UNI_TJU_PRECISION,2026,"Precision testing, micro/nano manufacturing, sensing, and optical engineering proxy."
obs_0083,institution,inst_tju_precision,Tianjin,Tianjin,lithography_sidebar,,Relevant institutional-capacity signal,Tianjin University - School of Precision Instrument and Opto-electronics Engineering,qualitative,institutional_capacity,medium,CN_UNI_TJU_PRECISION,2026,"Precision testing, micro/nano manufacturing, sensing, and optical engineering proxy."
obs_0084,company,ent_naura,Beijing,Beijing,etch_clean,,Industry / tool-category presence signal,NAURA Technology Group,qualitative,industry_presence,medium,CN_FIRM_NAURA,2026,Official product page lists semiconductor equipment categories; use for tool-category mapping.
obs_0085,company,ent_naura,Beijing,Beijing,deposition,,Industry / tool-category presence signal,NAURA Technology Group,qualitative,industry_presence,medium,CN_FIRM_NAURA,2026,Official product page lists semiconductor equipment categories; use for tool-category mapping.
obs_0086,company,ent_amec,Shanghai,Shanghai,etch_clean,,Industry / tool-category presence signal,AMEC,qualitative,industry_presence,medium,CN_FIRM_AMEC,2026,Core etch/deposition product-line source.
obs_0087,company,ent_amec,Shanghai,Shanghai,deposition,,Industry / tool-category presence signal,AMEC,qualitative,industry_presence,medium,CN_FIRM_AMEC,2026,Core etch/deposition product-line source.
obs_0088,company,ent_piotech,Shenyang,Liaoning,deposition,,Industry / tool-category presence signal,Piotech,qualitative,industry_presence,medium,CN_FIRM_PIOTECH,2026,Deposition company source covering PECVD/ALD/SACVD/HDPCVD/Flowable CVD in ledger.
obs_0089,company,ent_acm_sh,Shanghai,Shanghai,etch_clean,,Industry / tool-category presence signal,ACM Research Shanghai,qualitative,industry_presence,medium,CN_FIRM_ACM_SH,2026,Clean/strip and adjacent front-end equipment source.
obs_0090,company,ent_acm_sh,Shanghai,Shanghai,deposition,,Industry / tool-category presence signal,ACM Research Shanghai,qualitative,industry_presence,medium,CN_FIRM_ACM_SH,2026,Clean/strip and adjacent front-end equipment source.
obs_0091,company,ent_beim,Beijing,Beijing,metrology_inspection,,Industry / tool-category presence signal,Beijing Electronics Inspection and Metrology Equipment,qualitative,industry_presence,medium,CN_FIRM_BEIM,2026,Metrology/inspection anchor source.
obs_0092,company,ent_smee,Shanghai,Shanghai,lithography_sidebar,,Industry / tool-category presence signal,Shanghai Micro Electronics Equipment,qualitative,industry_presence,medium,CN_FIRM_SMEE,2026,Lithography-sidebar source; homepage broad and needs product-page verification for claims.
obs_0093,company,ent_smee,Shanghai,Shanghai,metrology_inspection,,Industry / tool-category presence signal,Shanghai Micro Electronics Equipment,qualitative,industry_presence,medium,CN_FIRM_SMEE,2026,Lithography-sidebar source; homepage broad and needs product-page verification for claims.
obs_0094,industrial_park,ent_lingang_oriental_chip_port,Shanghai,Shanghai,etch_clean,,Industry / tool-category presence signal,Oriental Chip Port,qualitative,industry_presence,high,CN_PARK_ORIENTAL_CHIP_PORT,2026,"Park-level source for distinctive processes, key equipment, basic materials, and packaging/testing."
obs_0095,industrial_park,ent_lingang_oriental_chip_port,Shanghai,Shanghai,deposition,,Industry / tool-category presence signal,Oriental Chip Port,qualitative,industry_presence,high,CN_PARK_ORIENTAL_CHIP_PORT,2026,"Park-level source for distinctive processes, key equipment, basic materials, and packaging/testing."
obs_0096,industrial_park,ent_lingang_oriental_chip_port,Shanghai,Shanghai,metrology_inspection,,Industry / tool-category presence signal,Oriental Chip Port,qualitative,industry_presence,high,CN_PARK_ORIENTAL_CHIP_PORT,2026,"Park-level source for distinctive processes, key equipment, basic materials, and packaging/testing."
obs_0097,industrial_park,ent_lingang_oriental_chip_port,Shanghai,Shanghai,lithography_sidebar,,Industry / tool-category presence signal,Oriental Chip Port,qualitative,industry_presence,high,CN_PARK_ORIENTAL_CHIP_PORT,2026,"Park-level source for distinctive processes, key equipment, basic materials, and packaging/testing."
obs_0098,industrial_cluster,ent_beijing_etown_ic,Beijing,Beijing,etch_clean,,Industry / tool-category presence signal,Beijing E-Town IC Cluster,qualitative,industry_presence,high,CN_PARK_BEIJING_ETOWN_IC,2026,"Cluster geography source that includes design, manufacturing, packaging, equipment, parts, and materials."
obs_0099,industrial_cluster,ent_beijing_etown_ic,Beijing,Beijing,deposition,,Industry / tool-category presence signal,Beijing E-Town IC Cluster,qualitative,industry_presence,high,CN_PARK_BEIJING_ETOWN_IC,2026,"Cluster geography source that includes design, manufacturing, packaging, equipment, parts, and materials."
obs_0100,industrial_cluster,ent_beijing_etown_ic,Beijing,Beijing,metrology_inspection,,Industry / tool-category presence signal,Beijing E-Town IC Cluster,qualitative,industry_presence,high,CN_PARK_BEIJING_ETOWN_IC,2026,"Cluster geography source that includes design, manufacturing, packaging, equipment, parts, and materials."
obs_0101,industrial_cluster,ent_beijing_etown_ic,Beijing,Beijing,lithography_sidebar,,Industry / tool-category presence signal,Beijing E-Town IC Cluster,qualitative,industry_presence,high,CN_PARK_BEIJING_ETOWN_IC,2026,"Cluster geography source that includes design, manufacturing, packaging, equipment, parts, and materials."
obs_0102,industrial_cluster,ent_sip_ic,Suzhou,Jiangsu,deposition,,Industry / tool-category presence signal,Suzhou Industrial Park IC Cluster,qualitative,industry_presence,high,CN_PARK_SIP_IC,2026,Action-plan source naming equipment directions and talent/firm targets.
obs_0103,industrial_cluster,ent_sip_ic,Suzhou,Jiangsu,metrology_inspection,,Industry / tool-category presence signal,Suzhou Industrial Park IC Cluster,qualitative,industry_presence,high,CN_PARK_SIP_IC,2026,Action-plan source naming equipment directions and talent/firm targets.
obs_0104,industrial_cluster,ent_sip_ic,Suzhou,Jiangsu,lithography_sidebar,,Industry / tool-category presence signal,Suzhou Industrial Park IC Cluster,qualitative,industry_presence,high,CN_PARK_SIP_IC,2026,Action-plan source naming equipment directions and talent/firm targets.
obs_0105,industrial_park,ent_haicang_ic,Xiamen,Fujian,etch_clean,,Industry / tool-category presence signal,Xiamen Haicang IC Park,qualitative,industry_presence,high,CN_PARK_HAICANG_IC,2026,Park source for South China / coastal demand mapping.
obs_0106,industrial_park,ent_haicang_ic,Xiamen,Fujian,deposition,,Industry / tool-category presence signal,Xiamen Haicang IC Park,qualitative,industry_presence,high,CN_PARK_HAICANG_IC,2026,Park source for South China / coastal demand mapping.
obs_0107,industrial_park,ent_haicang_ic,Xiamen,Fujian,metrology_inspection,,Industry / tool-category presence signal,Xiamen Haicang IC Park,qualitative,industry_presence,high,CN_PARK_HAICANG_IC,2026,Park source for South China / coastal demand mapping.
obs_0108,company,ent_jingce,Wuhan,Hubei,metrology_inspection,,Industry / tool-category presence signal,Jingce Electronic,qualitative,industry_presence,medium,CN_FILING_JINGCE_2025,2026,Annual report summary source for metrology/inspection product taxonomy; verify full filing before public claims.
obs_0109,city,sig_001,Shenzhen,Guangdong,etch_clean,,Official semiconductor/IC high-end shortage directory signal,present,qualitative,shortage_signal,high,CN_SHORT_SZ_SEMI_2024,2024,"Use as evidence of official role-level demand signal, not as neutral labor-market census."
obs_0110,city,sig_002,Shenzhen,Guangdong,deposition,,Official semiconductor/IC high-end shortage directory signal,present,qualitative,shortage_signal,high,CN_SHORT_SZ_SEMI_2024,2024,"Use as evidence of official role-level demand signal, not as neutral labor-market census."
obs_0111,city,sig_003,Shenzhen,Guangdong,metrology_inspection,,Official semiconductor/IC high-end shortage directory signal,present,qualitative,shortage_signal,high,CN_SHORT_SZ_SEMI_2024,2024,"Use as evidence of official role-level demand signal, not as neutral labor-market census."
obs_0112,city,sig_004,Shenzhen,Guangdong,lithography_sidebar,,Official semiconductor/IC high-end shortage directory signal,present,qualitative,shortage_signal,high,CN_SHORT_SZ_SEMI_2024,2024,"Use as evidence of official role-level demand signal, not as neutral labor-market census."
